Model,DPO2002B
Firmware Version,1.52

Point Format,Y,,,,,Point Format,Y
Horizontal Units,S,,,,,Horizontal Units,Hz
Horizontal Scale,781250,,,,,Horizontal Scale,781250
Sample Interval,78.125,,,,,Sample Interval,1562.5
Filter Frequency,7e+07,,,,,Filter Frequency,7e+07
Record Length,100000,,,,,Record Length,5000
Gating,0.0% to 100.0%,,0.0% to 100.0%,,,Gating,0.0% to 100.0%
Probe Attenuation,10,,10,,,Probe Attenuation,1
Vertical Units,V,,V,,,Vertical Units,NONE
Vertical Offset,0,,0,,,Vertical Offset,0
Vertical Scale,2,,2,,,Vertical Scale,20
Label,,,,,,Label,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,,TIME,MATH
6.40625e+03,1.96,1.96,2,2,,1.281e+05,-48.0594
6.48437e+03,1.96,1.96,2,2,,1.297e+05,-47.0406
6.56250e+03,1.96,1.96,2,2,,1.312e+05,-46.0187
6.64062e+03,1.96,1.96,2,2,,1.328e+05,-47.0406
6.71875e+03,1.96,1.96,2,2,,1.344e+05,-48.0594
6.79687e+03,1.96,1.96,2,2,,1.359e+05,-49.5656
6.87500e+03,1.96,1.96,2,2,,1.375e+05,-51.0719
6.95312e+03,1.96,1.96,2,2,,1.391e+05,-51.0719
7.03125e+03,1.96,1.96,2.08,2,,1.406e+05,-51.0719
7.10937e+03,1.96,1.96,2,2.08,,1.422e+05,-48.9969
7.18750e+03,1.96,1.96,2,2,,1.437e+05,-46.9219
7.26562e+03,1.96,1.96,2,2,,1.453e+05,-50.9875
7.34375e+03,1.96,1.96,2,2,,1.469e+05,-55.05
7.42187e+03,1.96,1.96,2,2,,1.484e+05,-53.5469
7.50000e+03,1.96,1.96,2,2,,1.500e+05,-52.0406
7.57812e+03,1.96,2.04,2,2,,1.516e+05,-49.4813
7.65625e+03,1.96,1.96,2,2,,1.531e+05,-46.9219
7.73437e+03,1.96,1.96,2,2,,1.547e+05,-48.9969
7.81250e+03,1.96,1.96,2,2,,1.562e+05,-51.0719
7.89062e+03,1.96,1.96,2,2,,1.578e+05,-51.0719
7.96875e+03,1.96,1.96,2,2,,1.594e+05,-51.0719
8.04687e+03,1.96,2.04,2,2,,1.609e+05,-50.0531
8.12500e+03,1.96,1.96,2,2,,1.625e+05,-49.0312
8.20312e+03,1.96,1.96,2,2,,1.641e+05,-49.0312
8.28125e+03,1.96,1.96,2,2,,1.656e+05,-49.0312
8.35937e+03,1.96,1.96,2,2.08,,1.672e+05,-49.0312
8.43750e+03,1.96,1.96,2,2,,1.687e+05,-49.0312
8.51562e+03,1.96,1.96,2,2,,1.703e+05,-50.0531
8.59375e+03,1.96,1.96,2,2,,1.719e+05,-51.0719
8.67187e+03,1.96,1.96,2,2,,1.734e+05,-51.0719
8.75000e+03,1.96,1.96,2,2,,1.750e+05,-51.0719
8.82812e+03,1.96,1.96,2,2,,1.766e+05,-51.0719
8.90625e+03,1.96,1.96,2,2,,1.781e+05,-51.0719
8.98437e+03,1.96,1.96,2,2,,1.797e+05,-51.0719
9.06250e+03,1.96,1.96,2,2,,1.812e+05,-51.0719
9.14062e+03,1.96,1.96,2,2,,1.828e+05,-54.5656
9.21875e+03,1.96,1.96,2,2,,1.844e+05,-58.0594
9.29687e+03,1.96,1.96,2,2,,1.859e+05,-53.0594
9.37500e+03,1.96,1.96,2,2,,1.875e+05,-48.0594
9.45312e+03,1.96,1.96,2,2,,1.891e+05,-51.5562
9.53125e+03,1.96,1.96,2,1.92,,1.906e+05,-55.05
9.60937e+03,1.96,1.96,2,2,,1.922e+05,-53.0625
9.68750e+03,1.96,1.96,2,2,,1.937e+05,-51.0719
9.76562e+03,1.96,1.96,2,2.08,,1.953e+05,-51.0719
9.84375e+03,1.96,1.96,2,2,,1.969e+05,-51.0719
9.92187e+03,1.96,1.96,2,2,,1.984e+05,-50.0531
1.00000e+04,1.96,1.96,2,2,,2.000e+05,-49.0312
1.00781e+04,1.96,1.96,2,2,,2.016e+05,-50.0531
1.01562e+04,1.96,1.96,2,2,,2.031e+05,-51.0719
1.02344e+04,1.96,1.96,2,2,,2.047e+05,-50.0531
1.03125e+04,1.96,1.96,2,2,,2.062e+05,-49.0312
1.03906e+04,1.96,1.96,2,2.08,,2.078e+05,-52.0406
1.04687e+04,1.96,1.96,2,2,,2.094e+05,-55.05
1.05469e+04,1.96,2.04,2,2,,2.109e+05,-55.05
1.06250e+04,1.96,1.96,2,2,,2.125e+05,-55.05
1.07031e+04,1.96,1.96,2,2,,2.141e+05,-53.0625
1.07812e+04,1.96,1.96,2,2,,2.156e+05,-51.0719
1.08594e+04,1.96,1.96,2,2,,2.172e+05,-51.0719
1.09375e+04,1.96,1.96,2,2,,2.187e+05,-51.0719
1.10156e+04,1.96,2.04,2,2,,2.203e+05,-54.5656
1.10937e+04,1.96,1.96,2,2,,2.219e+05,-58.0594
1.11719e+04,2.04,2.04,2,2,,2.234e+05,-54.5656
1.12500e+04,1.96,1.96,2,2,,2.250e+05,-51.0719
1.13281e+04,1.96,1.96,2,2.08,,2.266e+05,-53.0625
1.14062e+04,1.96,1.96,2,2,,2.281e+05,-55.05
1.14844e+04,1.96,1.96,2,2.08,,2.297e+05,-55.05
1.15625e+04,1.96,1.96,2,2,,2.312e+05,-55.05
1.16406e+04,2.04,2.04,2,2,,2.328e+05,-53.0625
1.17187e+04,1.96,1.96,2,2,,2.344e+05,-51.0719
1.17969e+04,1.96,1.96,2,2,,2.359e+05,-54.5656
1.18750e+04,1.96,1.96,2,2,,2.375e+05,-58.0594
1.19531e+04,2.04,2.04,2,2,,2.391e+05,-53.5469
1.20312e+04,1.96,1.96,2,2,,2.406e+05,-49.0312
1.21094e+04,1.96,1.96,2,2,,2.422e+05,-50.0531
1.21875e+04,1.96,1.96,2,2,,2.437e+05,-51.0719
1.22656e+04,2.04,2.04,2,2.08,,2.453e+05,-51.0719
1.23437e+04,1.96,1.96,2,2,,2.469e+05,-51.0719
1.24219e+04,1.96,1.96,2,2,,2.484e+05,-51.5562
1.25000e+04,1.96,1.96,2,2,,2.500e+05,-52.0406
1.25781e+04,1.96,1.96,2,2,,2.516e+05,-51.5562
1.26562e+04,1.96,1.96,2,2,,2.531e+05,-51.0719
1.27344e+04,2.04,2.04,2,2,,2.547e+05,-48.9969
1.28125e+04,1.96,1.96,2,2,,2.562e+05,-46.9219
1.28906e+04,1.96,1.96,2,2,,2.578e+05,-50.9875
1.29687e+04,1.96,1.96,2,2,,2.594e+05,-55.05
1.30469e+04,1.96,1.96,2,2,,2.609e+05,-55.05
