Time (s),Bx (µT),By (µT),Bz (µT)
0.009999999776482582,-12.397902488708496,-39.370758056640625,-51.11808776855469
0.019999999552965164,-12.397902488708496,-39.370758056640625,-50.173709869384766
0.029999999329447746,-12.525620460510254,-39.43342208862305,-49.77669906616211
0.03999999910593033,-12.735398292541504,-39.59305953979492,-50.37560272216797
0.05000000074505806,-12.735398292541504,-39.85562515258789,-51.08587646484375
0.05999999865889549,-12.607680320739746,-38.990234375,-51.66053771972656
0.07000000029802322,-12.566650390625,-39.34553146362305,-51.7363166809082
0.07999999821186066,-12.508858680725098,-39.583980560302734,-51.34880447387695
0.09000000357627869,-12.329416275024414,-39.106781005859375,-50.687007904052734
0.10000000149011612,-11.928062438964844,-39.50062942504883,-50.26084518432617
0.10999999940395355,-12.134960174560547,-39.77509689331055,-49.834678649902344
0.11999999731779099,-12.4025297164917,-39.272071838378906,-50.05283737182617
0.12999999523162842,-12.463201522827148,-38.759151458740234,-50.67597961425781
0.14000000059604645,-12.279438972473145,-38.98912048339844,-51.35066223144531
0.15000000596046448,-12.680793762207031,-39.9080924987793,-51.776824951171875
0.1599999964237213,-12.850981712341309,-39.6928596496582,-50.48479461669922
0.17000000178813934,-12.984766006469727,-39.53635025024414,-49.52141571044922
0.18000000715255737,-12.844608306884766,-39.44674301147461,-49.534950256347656
0.1899999976158142,-12.250542640686035,-39.25764083862305,-50.42157745361328
0.20000000298023224,-12.518113136291504,-39.91404724121094,-48.432804107666016
0.20999999344348907,-12.347618103027344,-39.81818389892578,-49.46746826171875
0.2199999988079071,-12.378260612487793,-40.14088821411133,-50.063865661621094
0.23000000417232513,-12.566650390625,-40.30698776245117,-50.11605453491211
0.23999999463558197,-12.552769660949707,-39.0577392578125,-50.97821044921875
0.25,-12.15141487121582,-39.58286666870117,-52.114654541015625
0.25999999046325684,-12.577651023864746,-39.39739990234375,-50.944374084472656
0.27000001072883606,-12.76717472076416,-39.07075881958008,-50.47932815551758
0.2800000011920929,-12.600172996520996,-38.84109115600586,-51.18927764892578
0.28999999165534973,-12.73395824432373,-38.709808349609375,-51.473388671875
0.30000001192092896,-12.206019401550293,-38.96813201904297,-51.61697006225586
0.3100000023841858,-12.060406684875488,-39.13513946533203,-51.03521728515625
0.3199999928474426,-12.247662544250488,-39.32767105102539,-50.646827697753906
0.33000001311302185,-12.59410572052002,-39.53635025024414,-50.73057556152344
0.3400000035762787,-12.727890968322754,-39.53635025024414,-50.588523864746094
0.3499999940395355,-12.60912036895752,-39.040687561035156,-51.25096893310547
0.36000001430511475,-13.023222923278809,-38.963592529296875,-50.797733306884766
0.3700000047683716,-13.01593017578125,-38.873687744140625,-50.581199645996094
0.3799999952316284,-12.33609676361084,-38.56379318237305,-51.43353271484375
0.38999998569488525,-13.005021095275879,-38.69507598876953,-52.28586196899414
0.4000000059604645,-12.712263107299805,-38.82635498046875,-51.73413848876953
0.4099999964237213,-12.225661277770996,-38.79033279418945,-51.74799728393555
0.41999998688697815,-11.992227554321289,-38.708396911621094,-51.96059036254883
0.4300000071525574,-12.29043960571289,-38.753501892089844,-51.76972961425781
0.4399999976158142,-12.825578689575195,-39.14734649658203,-51.20151138305664
0.44999998807907104,-12.675860404968262,-38.757137298583984,-50.63329315185547
0.46000000834465027,-12.883370399475098,-38.38740921020508,-50.31729507446289
0.4699999988079071,-13.064773559570312,-38.341793060302734,-50.45694351196289
0.47999998927116394,-12.557395935058594,-38.708396911621094,-51.11808776855469
0.49000000953674316,-12.423611640930176,-38.708396911621094,-51.11808776855469
0.5,-12.50597858428955,-38.60234069824219,-51.232845306396484
0.5099999904632568,-12.639762878417969,-38.75804138183594,-51.685428619384766
0.5199999809265137,-12.659098625183105,-39.0770149230957,-51.74757385253906
0.5299999713897705,-12.401089668273926,-39.205169677734375,-50.22895812988281
0.5400000214576721,-12.534873962402344,-39.205169677734375,-50.51306915283203
0.550000011920929,-12.566650390625,-39.50546646118164,-50.905494689941406
0.5600000023841858,-12.365513801574707,-39.43877410888672,-51.33165740966797
0.5699999928474426,-12.188736915588379,-38.97661209106445,-51.65562438964844
0.5799999833106995,-12.723876953125,-38.71405029296875,-51.65562438964844
0.5899999737739563,-12.473588943481445,-38.323028564453125,-51.37763214111328
0.6000000238418579,-12.301960945129395,-38.87064743041992,-51.399139404296875
0.6100000143051147,-12.16817569732666,-39.25108337402344,-51.47644805908203
0.6200000047683716,-12.034391403198242,-39.03957748413086,-51.20021057128906
0.6299999952316284,-11.900606155395508,-39.03957748413086,-49.7796630859375
0.6399999856948853,-12.640682220458984,-39.03957748413086,-48.35911178588867
0.6499999761581421,-12.544649124145508,-39.21596145629883,-48.17914962768555
0.6600000262260437,-12.229154586791992,-39.370758056640625,-49.13006591796875
0.6700000166893005,-12.209206581115723,-39.39033508300781,-50.60173034667969
0.6800000071525574,-12.075421333312988,-39.5216178894043,-50.7437858581543
0.6899999976158142,-12.535487174987793,-39.53635025024414,-51.0119514465332
0.699999988079071,-12.735398292541504,-39.207393646240234,-51.11808776855469
0.7099999785423279,-12.833086013793945,-38.77812576293945,-51.169952392578125
0.7200000286102295,-12.975727081298828,-38.5019416809082,-51.34148406982422
0.7300000190734863,-12.039233207702637,-38.108097076416016,-51.76765060424805
0.7400000095367432,-11.891658782958984,-38.2672233581543,-51.83480453491211
0.75,-12.28035831451416,-38.45349884033203,-51.99989700317383
0.7599999904632568,-12.906505584716797,-38.54280471801758,-51.92063903808594
0.7699999809265137,-13.402576446533203,-38.527469635009766,-51.076602935791016
0.7799999713897705,-13.268791198730469,-38.26490783691406,-50.366329193115234
0.7900000214576721,-13.454913139343262,-38.42090606689453,-51.35446548461914
0.800000011920929,-13.22077465057373,-38.40214157104492,-51.176849365234375
0.8100000023841858,-12.698688507080078,-38.355716705322266,-50.08198928833008
0.8199999928474426,-12.580623626708984,-38.87227249145508,-50.23888397216797
0.8299999833106995,-13.65090274810791,-38.740989685058594,-51.51737594604492
0.8399999737739563,-13.212654113769531,-38.511024475097656,-51.62123489379883
0.8500000238418579,-12.997819900512695,-38.570350646972656,-50.71017837524414
0.8600000143051147,-13.226534843444824,-38.9942626953125,-49.6356201171875
0.8700000047683716,-12.423826217651367,-39.51939010620117,-50.20383834838867
0.8799999952316284,-12.786294937133789,-39.28226852416992,-51.596866607666016
0.8899999856948853,-12.715143203735352,-39.11243438720703,-52.11432647705078
0.8999999761581421,-12.804803848266602,-39.03957748413086,-52.319602966308594
0.9100000262260437,-13.167916297912598,-38.99134826660156,-52.18619918823242
0.9200000166893005,-12.766561508178711,-38.728782653808594,-50.19742965698242
0.9300000071525574,-12.118412971496582,-39.1927490234375,-50.69813537597656
0.9399999976158142,-12.245394706726074,-39.370758056640625,-51.50231170654297
0.949999988079071,-12.673592567443848,-39.26581573486328,-52.29786682128906
0.9599999785423279,-12.867130279541016,-38.98509216308594,-52.909881591796875
0.9700000286102295,-12.599560737609863,-38.59124755859375,-52.909881591796875
0.9800000190734863,-12.449320793151855,-39.34874725341797,-51.290306091308594
