Model,DPO2002B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,1e-05,
Sample Interval,1e-09,
Filter Frequency,7e+07,
Record Length,100000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,1
Label,,
TIME,CH1,CH2
-8.93000e-06,-2.15678387880e00,366.33166322e-03
-8.92000e-06,-2.07638186961e00,368.84422600e-03
-8.91000e-06,-2.07638186961e00,368.84422600e-03
-8.90000e-06,-2.15678387880e00,328.64322141e-03
-8.89000e-06,-2.15678387880e00,368.84422600e-03
-8.88000e-06,-2.15678387880e00,366.33166322e-03
-8.87000e-06,-2.15678387880e00,328.64322141e-03
-8.86000e-06,-2.15678387880e00,328.64322141e-03
-8.85000e-06,-2.15678387880e00,368.84422600e-03
-8.84000e-06,-2.16180900438e00,368.84422600e-03
-8.83000e-06,-2.15678387880e00,368.84422600e-03
-8.82000e-06,-2.15678387880e00,328.64322141e-03
-8.81000e-06,-2.23718588799e00,366.33166322e-03
-8.80000e-06,-2.16180900438e00,368.84422600e-03
-8.79000e-06,-2.15678387880e00,368.84422600e-03
-8.78000e-06,-2.15678387880e00,368.84422600e-03
-8.77000e-06,-2.23718588799e00,368.84422600e-03
-8.76000e-06,-2.15678387880e00,366.33166322e-03
-8.75000e-06,-2.23718588799e00,368.84422600e-03
-8.74000e-06,-2.16180900438e00,366.33166322e-03
-8.73000e-06,-2.16180900438e00,366.33166322e-03
-8.72000e-06,-2.23718588799e00,328.64322141e-03
-8.71000e-06,-2.23718588799e00,366.33166322e-03
-8.70000e-06,-2.23718588799e00,368.84422600e-03
-8.69000e-06,-2.23718588799e00,368.84422600e-03
-8.68000e-06,-2.23718588799e00,368.84422600e-03
-8.67000e-06,-2.23718588799e00,368.84422600e-03
-8.66000e-06,-2.31758789718e00,328.64322141e-03
-8.65000e-06,-2.23718588799e00,368.84422600e-03
-8.64000e-06,-2.24221101357e00,368.84422600e-03
-8.63000e-06,-2.23718588799e00,328.64322141e-03
-8.62000e-06,-2.23718588799e00,328.64322141e-03
-8.61000e-06,-2.23718588799e00,368.84422600e-03
-8.60000e-06,-2.23718588799e00,328.64322141e-03
-8.59000e-06,-2.23718588799e00,366.33166322e-03
-8.58000e-06,-2.31758789718e00,328.64322141e-03
-8.57000e-06,-2.31758789718e00,366.33166322e-03
-8.56000e-06,-2.24221101357e00,366.33166322e-03
-8.55000e-06,-2.23718588799e00,328.64322141e-03
-8.54000e-06,-2.31758789718e00,368.84422600e-03
-8.53000e-06,-2.31758789718e00,368.84422600e-03
-8.52000e-06,-2.31758789718e00,328.64322141e-03
-8.51000e-06,-2.31758789718e00,328.64322141e-03
-8.50000e-06,-2.31758789718e00,328.64322141e-03
-8.49000e-06,-2.31758789718e00,366.33166322e-03
-8.48000e-06,-2.31758789718e00,368.84422600e-03
-8.47000e-06,-2.31758789718e00,368.84422600e-03
-8.46000e-06,-2.39798990637e00,328.64322141e-03
-8.45000e-06,-2.31758789718e00,368.84422600e-03
-8.44000e-06,-2.31758789718e00,368.84422600e-03
-8.43000e-06,-2.24221101357e00,368.84422600e-03
-8.42000e-06,-2.31758789718e00,368.84422600e-03
-8.41000e-06,-2.31758789718e00,368.84422600e-03
-8.40000e-06,-2.32261302276e00,366.33166322e-03
-8.39000e-06,-2.31758789718e00,368.84422600e-03
-8.38000e-06,-2.39798990637e00,368.84422600e-03
-8.37000e-06,-2.32261302276e00,328.64322141e-03
-8.36000e-06,-2.32261302276e00,368.84422600e-03
-8.35000e-06,-2.39798990637e00,328.64322141e-03
-8.34000e-06,-2.39798990637e00,328.64322141e-03
-8.33000e-06,-2.39798990637e00,366.33166322e-03
-8.32000e-06,-2.39798990637e00,366.33166322e-03
-8.31000e-06,-2.31758789718e00,368.84422600e-03
-8.30000e-06,-2.39798990637e00,328.64322141e-03
-8.29000e-06,-2.39798990637e00,366.33166322e-03
-8.28000e-06,-2.39798990637e00,366.33166322e-03
-8.27000e-06,-2.39798990637e00,366.33166322e-03
-8.26000e-06,-2.39798990637e00,328.64322141e-03
-8.25000e-06,-2.39798990637e00,368.84422600e-03
-8.24000e-06,-2.39798990637e00,328.64322141e-03
-8.23000e-06,-2.39798990637e00,328.64322141e-03
-8.22000e-06,-2.39798990637e00,368.84422600e-03
-8.21000e-06,-2.39798990637e00,368.84422600e-03
-8.20000e-06,-2.39798990637e00,328.64322141e-03
-8.19000e-06,-2.39798990637e00,368.84422600e-03
-8.18000e-06,-2.39798990637e00,328.64322141e-03
-8.17000e-06,-2.39798990637e00,368.84422600e-03
-8.16000e-06,-2.39798990637e00,328.64322141e-03
-8.15000e-06,-2.39798990637e00,328.64322141e-03
-8.14000e-06,-2.39798990637e00,328.64322141e-03
-8.13000e-06,-2.39798990637e00,366.33166322e-03
-8.12000e-06,-2.39798990637e00,366.33166322e-03
-8.11000e-06,-2.39798990637e00,328.64322141e-03
-8.10000e-06,-2.39798990637e00,328.64322141e-03
-8.09000e-06,-2.39798990637e00,368.84422600e-03
-8.08000e-06,-2.47839191556e00,366.33166322e-03
-8.07000e-06,-2.47839191556e00,366.33166322e-03
-8.06000e-06,-2.47839191556e00,368.84422600e-03
-8.05000e-06,-2.40301503194e00,368.84422600e-03
-8.04000e-06,-2.40301503194e00,328.64322141e-03
-8.03000e-06,-2.39798990637e00,366.33166322e-03
-8.02000e-06,-2.40301503194e00,368.84422600e-03
-8.01000e-06,-2.47839191556e00,368.84422600e-03
-8.00000e-06,-2.39798990637e00,368.84422600e-03
-7.99000e-06,-2.39798990637e00,328.64322141e-03
-7.98000e-06,-2.39798990637e00,328.64322141e-03
-7.97000e-06,-2.40301503194e00,368.84422600e-03
-7.96000e-06,-2.47839191556e00,368.84422600e-03
-7.95000e-06,-2.39798990637e00,328.64322141e-03
-7.94000e-06,-2.47839191556e00,368.84422600e-03
-7.93000e-06,-2.47839191556e00,368.84422600e-03
-7.92000e-06,-2.47839191556e00,368.84422600e-03
-7.91000e-06,-2.47839191556e00,368.84422600e-03
-7.90000e-06,-2.47839191556e00,328.64322141e-03
-7.89000e-06,-2.47839191556e00,368.84422600e-03
-7.88000e-06,-2.47839191556e00,366.33166322e-03
-7.87000e-06,-2.47839191556e00,328.64322141e-03
-7.86000e-06,-2.39798990637e00,328.64322141e-03
-7.85000e-06,-2.47839191556e00,368.84422600e-03
-7.84000e-06,-2.47839191556e00,366.33166322e-03
-7.83000e-06,-2.39798990637e00,328.64322141e-03
-7.82000e-06,-2.47839191556e00,328.64322141e-03
-7.81000e-06,-2.47839191556e00,368.84422600e-03
-7.80000e-06,-2.40301503194e00,368.84422600e-03
-7.79000e-06,-2.47839191556e00,366.33166322e-03
-7.78000e-06,-2.40301503194e00,368.84422600e-03
-7.77000e-06,-2.39798990637e00,368.84422600e-03
-7.76000e-06,-2.39798990637e00,328.64322141e-03
-7.75000e-06,-2.47839191556e00,366.33166322e-03
-7.74000e-06,-2.47839191556e00,368.84422600e-03
-7.73000e-06,-2.40301503194e00,366.33166322e-03
-7.72000e-06,-2.47839191556e00,366.33166322e-03
-7.71000e-06,-2.39798990637e00,328.64322141e-03
-7.70000e-06,-2.47839191556e00,328.64322141e-03
-7.69000e-06,-2.39798990637e00,366.33166322e-03
-7.68000e-06,-2.39798990637e00,366.33166322e-03
-7.67000e-06,-2.47839191556e00,368.84422600e-03
-7.66000e-06,-2.47839191556e00,328.64322141e-03
-7.65000e-06,-2.39798990637e00,368.84422600e-03
-7.64000e-06,-2.47839191556e00,328.64322141e-03
-7.63000e-06,-2.47839191556e00,328.64322141e-03
-7.62000e-06,-2.47839191556e00,328.64322141e-03
-7.61000e-06,-2.47839191556e00,366.33166322e-03
-7.60000e-06,-2.47839191556e00,328.64322141e-03
-7.59000e-06,-2.39798990637e00,368.84422600e-03
-7.58000e-06,-2.47839191556e00,328.64322141e-03
-7.57000e-06,-2.39798990637e00,328.64322141e-03
-7.56000e-06,-2.39798990637e00,328.64322141e-03
-7.55000e-06,-2.39798990637e00,328.64322141e-03
-7.54000e-06,-2.40301503194e00,368.84422600e-03
-7.53000e-06,-2.47839191556e00,328.64322141e-03
-7.52000e-06,-2.40301503194e00,366.33166322e-03
-7.51000e-06,-2.39798990637e00,368.84422600e-03
-7.50000e-06,-2.47839191556e00,368.84422600e-03
-7.49000e-06,-2.39798990637e00,368.84422600e-03
-7.48000e-06,-2.40301503194e00,368.84422600e-03
-7.47000e-06,-2.39798990637e00,368.84422600e-03
-7.46000e-06,-2.40301503194e00,328.64322141e-03
-7.45000e-06,-2.39798990637e00,366.33166322e-03
-7.44000e-06,-2.39798990637e00,368.84422600e-03
-7.43000e-06,-2.39798990637e00,368.84422600e-03
-7.42000e-06,-2.39798990637e00,328.64322141e-03
-7.41000e-06,-2.39798990637e00,368.84422600e-03
-7.40000e-06,-2.39798990637e00,368.84422600e-03
-7.39000e-06,-2.39798990637e00,328.64322141e-03
