Time (s),A1 (V),A2 (V)
0.0012499999720603228,0.095238097012043,0.11575091630220413
0.0024999999441206455,0.09597057104110718,0.11282102763652802
0.0037499999161809683,0.09743551164865494,0.11355292052030563
0.004999999888241291,0.09816824644804001,0.11428546160459518
0.0062500000931322575,0.09963306039571762,0.11941167712211609
0.007499999832361937,0.10036591440439224,0.11721727252006531
0.008750000037252903,0.10036630183458328,0.11721611768007278
0.009999999776482582,0.10183048248291016,0.12087655812501907
0.011250000447034836,0.1025635302066803,0.11648697406053543
0.012500000186264515,0.10329606384038925,0.12160724401473999
0.013749999925494194,0.1040286049246788,0.12307551503181458
0.014999999664723873,0.10476113855838776,0.12234508991241455
0.016249999403953552,0.10622544586658478,0.12527140974998474
0.017500000074505806,0.10695881396532059,0.12307961285114288
0.01875000074505806,0.10769134759902954,0.12527185678482056
0.019999999552965164,0.10842388868331909,0.12893261015415192
0.021250000223517418,0.10915642231702805,0.12381713837385178
0.02250000089406967,0.109888955950737,0.12673532962799072
0.023749999701976776,0.11135288327932358,0.12820270657539368
0.02500000037252903,0.11208663135766983,0.12893645465373993
0.026249999180436134,0.11281917244195938,0.12820647656917572
0.027499999850988388,0.11355170607566833,0.12674275040626526
0.028750000521540642,0.11428423970937729,0.12747105956077576
0.029999999329447746,0.11501678079366684,0.1318589299917221
0.03125,0.1157493144273758,0.13113713264465332
0.032499998807907104,0.11648185551166534,0.12967365980148315
0.03375000134110451,0.1172143891453743,0.1311320811510086
0.03500000014901161,0.11794693022966385,0.1347895860671997
0.036249998956918716,0.1186794638633728,0.1355292797088623
0.03750000149011612,0.11941199749708176,0.13187773525714874
0.038750000298023224,0.12014453858137131,0.13698245584964752
0.03999999910593033,0.12087707221508026,0.13334357738494873
0.04125000163912773,0.12160961329936981,0.13333334028720856
0.042500000447034836,0.12234214693307877,0.13552461564540863
0.04374999925494194,0.12307468056678772,0.13845258951187134
0.04500000178813934,0.12380722165107727,0.13846154510974884
0.04625000059604645,0.12453975528478622,0.13846154510974884
