Time (s),Bx (µT),By (µT),Bz (µT)
0.009999999776482582,-12.735398292541504,-40.19871139526367,-52.01398468017578
0.019999999552965164,-12.262700080871582,-40.19871139526367,-51.51206588745117
0.029999999329447746,-11.891658782958984,-39.9732666015625,-50.996116638183594
0.03999999910593033,-11.91199016571045,-39.636104583740234,-50.500667572021484
0.05000000074505806,-12.043634414672852,-40.282005310058594,-48.82328796386719
0.05999999865889549,-12.060406684875488,-39.80069351196289,-49.34141159057617
0.07000000029802322,-11.827105522155762,-39.99422073364258,-49.932376861572266
0.07999999821186066,-11.635489463806152,-40.37028503417969,-50.04948425292969
0.09000000357627869,-11.895217895507812,-39.874515533447266,-49.520591735839844
0.10000000149011612,-12.026861190795898,-40.132877349853516,-50.079715728759766
0.10999999940395355,-12.060406684875488,-40.29497528076172,-50.743003845214844
0.11999999731779099,-11.938417434692383,-40.36429977416992,-50.664730072021484
0.12999999523162842,-11.818472862243652,-40.27052688598633,-50.066768646240234
0.14000000059604645,-12.345047950744629,-39.75380325317383,-51.18502426147461
0.15000000596046448,-12.397902488708496,-40.05058288574219,-50.920013427734375
0.1599999964237213,-12.07259750366211,-39.95929718017578,-50.58702087402344
0.17000000178813934,-11.85557746887207,-39.832122802734375,-50.448326110839844
0.18000000715255737,-12.21491813659668,-40.177757263183594,-50.61833953857422
0.1899999976158142,-11.951630592346191,-39.79021453857422,-51.3172492980957
0.20000000298023224,-11.993316650390625,-39.80169677734375,-50.289085388183594
0.20999999344348907,-12.254067420959473,-39.930877685546875,-49.7796516418457
0.2199999988079071,-12.539200782775879,-40.033119201660156,-50.13475036621094
0.23000000417232513,-12.407557487487793,-40.033119201660156,-49.71540832519531
0.23999999463558197,-12.397902488708496,-39.793704986572266,-50.332305908203125
0.25,-12.313016891479492,-39.95183181762695,-50.76081466674805
0.25999999046325684,-12.181373596191406,-39.96427536010742,-50.786705017089844
0.27000001072883606,-12.049729347229004,-39.402191162109375,-50.514739990234375
0.2800000011920929,-11.918086051940918,-39.78973388671875,-51.912559509277344
0.28999999165534973,-11.681225776672363,-39.661033630371094,-51.29939651489258
0.30000001192092896,-11.758501052856445,-39.40267562866211,-50.036495208740234
0.3100000023841858,-11.99838924407959,-39.205169677734375,-49.29718780517578
0.3199999928474426,-11.735101699829102,-39.205169677734375,-50.695003509521484
0.33000001311302185,-12.350652694702148,-39.451568603515625,-50.62641906738281
0.3400000035762787,-12.566650390625,-39.53635025024414,-50.48664093017578
0.3499999940395355,-12.566650390625,-39.58673095703125,-50.12880325317383
0.36000001430511475,-12.595122337341309,-39.72987747192383,-49.5810546875
0.3700000047683716,-12.858409881591797,-39.98823928833008,-50.27996063232422
0.3799999952316284,-12.577818870544434,-40.673561096191406,-49.708370208740234
0.38999998569488525,-12.326231002807617,-41.02666091918945,-49.70680618286133
0.4000000059604645,-12.229154586791992,-40.857059478759766,-50.29560089111328
0.4099999964237213,-12.229154586791992,-40.21115493774414,-50.575164794921875
0.41999998688697815,-12.487369537353516,-40.57878494262695,-50.71763610839844
0.4300000071525574,-12.566650390625,-40.60519790649414,-50.07589340209961
0.4399999976158142,-12.347053527832031,-40.52989196777344,-49.68035125732422
0.44999998807907104,-11.962839126586914,-40.512428283691406,-50.00522232055664
0.46000000834465027,-12.48941421508789,-40.38324737548828,-49.72565841674805
0.4699999988079071,-12.341980934143066,-40.254066467285156,-50.16176986694336
0.47999998927116394,-12.755768775939941,-40.34635543823242,-50.401371002197266
0.49000000953674316,-13.067251205444336,-40.4550666809082,-50.158470153808594
0.5,-11.891658782958984,-40.194698333740234,-49.33280944824219
0.5099999904632568,-11.891658782958984,-39.677974700927734,-50.1714973449707
0.5199999809265137,-12.178345680236816,-39.81767272949219,-49.58961486816406
0.5299999713897705,-12.105611801147461,-39.918392181396484,-49.83694076538086
0.5400000214576721,-11.639578819274902,-39.82766342163086,-51.52179718017578
0.550000011920929,-12.166153907775879,-40.60274887084961,-51.80135726928711
0.5600000023841858,-12.576835632324219,-40.4680290222168,-50.850341796875
0.5699999928474426,-12.577818870544434,-40.132354736328125,-50.401371002197266
0.5799999833106995,-12.356217384338379,-39.9493408203125,-50.35710906982422
0.5899999737739563,-12.224573135375977,-40.20770263671875,-50.251380920410156
0.6000000238418579,-12.092928886413574,-40.466064453125,-51.09006881713867
0.6100000143051147,-12.258648872375488,-40.43262481689453,-51.192020416259766
0.6200000047683716,-12.583953857421875,-40.60772705078125,-50.986385345458984
0.6299999952316284,-12.904146194458008,-40.90442657470703,-50.839088439941406
0.6399999856948853,-12.904146194458008,-40.25852584838867,-51.2584342956543
0.6499999761581421,-12.545787811279297,-40.19871139526367,-49.14103698730469
0.6600000262260437,-12.23320484161377,-40.11790084838867,-48.95073318481445
0.6700000166893005,-12.19614028930664,-40.12191390991211,-49.82877731323242
0.6800000071525574,-12.558509826660156,-40.3563117980957,-50.28269577026367
0.6899999976158142,-12.42686653137207,-40.22713088989258,-51.26116943359375
0.699999988079071,-12.19254207611084,-40.5009880065918,-50.604225158691406
0.7099999785423279,-11.994830131530762,-40.69548034667969,-50.39115905761719
0.7200000286102295,-11.920130729675293,-40.63960266113281,-50.84821319580078
0.7300000190734863,-12.051774978637695,-40.38124084472656,-50.42886734008789
0.7400000095367432,-12.306429862976074,-40.60572052001953,-51.5769157409668
0.75,-12.140179634094238,-40.61117935180664,-52.65251159667969
0.7599999904632568,-11.940462112426758,-40.52989196777344,-52.439109802246094
0.7699999809265137,-12.060406684875488,-40.518409729003906,-50.48833084106445
0.7799999713897705,-12.060406684875488,-40.38922882080078,-51.466800689697266
0.7900000214576721,-11.954167366027832,-40.36429977416992,-50.753173828125
0.800000011920929,-11.891658782958984,-40.29645919799805,-50.882869720458984
0.8100000023841858,-11.795565605163574,-40.23014450073242,-51.76678466796875
0.8199999928474426,-11.400633811950684,-40.35932159423828,-51.487220764160156
0.8299999833106995,-11.765127182006836,-40.86111068725586,-50.535682678222656
0.8399999737739563,-11.712725639343262,-40.412113189697266,-50.032196044921875
0.8500000238418579,-11.606525421142578,-40.073062896728516,-49.86383056640625
0.8600000143051147,-11.72291088104248,-40.49994659423828,-49.78282165527344
0.8700000047683716,-11.72291088104248,-40.24158477783203,-49.08391189575195
0.8799999952316284,-11.613112449645996,-40.84517288208008,-50.48354721069336
0.8899999856948853,-11.626856803894043,-40.69291687011719,-50.602577209472656
0.8999999761581421,-11.79409122467041,-40.13789367675781,-50.02476501464844
