Time (s),A1 (V),A2 (V)
0.0012499999720603228,0.591208815574646,0.5897436141967773
0.0024999999441206455,0.6146520376205444,0.6021978259086609
0.0037499999161809683,0.6153846383094788,0.6117216348648071
0.004999999888241291,0.6278388500213623,0.6315018534660339
0.0062500000931322575,0.6395604610443115,0.6380952596664429
0.007499999832361937,0.6527472734451294,0.6498168706893921
0.008750000037252903,0.6681318879127502,0.6652014851570129
0.009999999776482582,0.6798534989356995,0.6761904954910278
0.011250000447034836,0.6908425092697144,0.6886447072029114
0.012500000186264515,0.7032967209815979,0.6974359154701233
0.013749999925494194,0.7201465368270874,0.7150183320045471
0.014999999664723873,0.7208791375160217,0.7267399430274963
0.016249999403953552,0.7399267554283142,0.7384615540504456
0.017500000074505806,0.7531135678291321,0.7501831650733948
0.01875000074505806,0.76630038022995,0.7633699774742126
0.019999999552965164,0.7838827967643738,0.7743589878082275
0.021250000223517418,0.7904762029647827,0.7875458002090454
0.02250000089406967,0.7992674112319946,0.7963370084762573
0.023749999701976776,0.8124542236328125,0.8065934181213379
0.02500000037252903,0.8278388381004333,0.8212454319000244
0.026249999180436134,0.8366300463676453,0.8344322443008423
0.027499999850988388,0.8468864560127258,0.8432234525680542
0.028750000521540642,0.8578754663467407,0.8571428656578064
0.029999999329447746,0.8849816918373108,0.865201473236084
0.03125,0.8849816918373108,0.8805860877037048
0.032499998807907104,0.8930402994155884,0.8901098966598511
0.03375000134110451,0.9062271118164062,0.903296709060669
0.03500000014901161,0.9179487228393555,0.9216117262840271
0.036249998956918716,0.9318681359291077,0.9274725317955017
0.03750000149011612,0.9384615421295166,0.936996340751648
0.038750000298023224,0.9531135559082031,0.9509157538414001
0.03999999910593033,0.9611721634864807,0.9611721634864807
0.04125000163912773,0.9699633717536926,0.9714285731315613
0.042500000447034836,0.9750915765762329,0.9809523820877075
0.04374999925494194,1,0.9919413924217224
0.04500000178813934,1.0065934658050537,1.005128264427185
0.04625000059604645,1.0212454795837402,1.0146520137786865
0.04749999940395355,1.0307692289352417,1.024908423423767
0.04874999821186066,1.038095235824585,1.0351648330688477
0.05000000074505806,1.0490843057632446,1.0483516454696655
0.051249999552965164,1.0608059167861938,1.063003659248352
0.05249999836087227,1.0747252702713013,1.072527527809143
0.05375000089406967,1.0871795415878296,1.0798535346984863
0.054999999701976776,1.0915751457214355,1.090109944343567
0.05624999850988388,1.1032967567443848,1.1018315553665161
0.057500001043081284,1.1113553047180176,1.1076923608779907
0.05874999985098839,1.1245421171188354,1.1084249019622803
0.05999999865889549,1.1340659856796265,1.1289377212524414
0.061250001192092896,1.1428571939468384,1.1406593322753906
0.0625,1.1545788049697876,1.172893762588501
0.0637499988079071,1.1663004159927368,1.159706950187683
0.06499999761581421,1.17362642288208,1.1699633598327637
0.06624999642372131,1.181684970855713,1.1765568256378174
0.06750000268220901,1.1948717832565308,1.1875457763671875
0.06875000149011612,1.197802186012268,1.1985348463058472
0.07000000029802322,1.2146520614624023,1.2102564573287964
0.07124999910593033,1.2190476655960083,1.216117262840271
0.07249999791383743,1.2344322204589844,1.2271062135696411
0.07374999672174454,1.2717949151992798,1.2351648807525635
0.07500000298023224,1.2505494356155396,1.2468864917755127
0.07625000178813934,1.258608102798462,1.2556777000427246
0.07750000059604645,1.2703297138214111,1.265201449394226
0.07874999940395355,1.2820513248443604,1.274725317955017
0.07999999821186066,1.2871794700622559,1.2849817276000977
0.08124999701976776,1.2937729358673096,1.2908425331115723
0.08250000327825546,1.3054945468902588,1.3003662824630737
0.08375000208616257,1.312820553779602,1.308424949645996
0.08500000089406967,1.3208791017532349,1.3179486989974976
0.08624999970197678,1.332600712776184,1.32600736618042
0.08749999850988388,1.3384615182876587,1.3384615182876587
0.08874999731779099,1.350183129310608,1.3450549840927124
0.09000000357627869,1.3560439348220825,1.3472527265548706
0.09125000238418579,1.3641026020050049,1.3589743375778198
0.0925000011920929,1.3721611499786377,1.3655678033828735
0.09375,1.3809523582458496,1.375824213027954
0.0949999988079071,1.3904762268066406,1.3853479623794556
0.09624999761581421,1.3985347747802734,1.3941391706466675
0.09749999642372131,1.4058607816696167,1.4007326364517212
0.09875000268220901,1.413919448852539,1.4080586433410645
0.10000000149011612,1.4190475940704346,1.413919448852539
0.10125000029802322,1.431501865386963,1.4219779968261719
0.10249999910593033,1.4351648092269897,1.4285714626312256
0.10374999791383743,1.4446886777877808,1.4358974695205688
0.10499999672174454,1.446886420249939,1.4446886777877808
0.10625000298023224,1.4586080312728882,1.451282024383545
0.10750000178813934,1.4666666984558105,1.460805892944336
0.10875000059604645,1.4725275039672852,1.4673992395401
0.10999999940395355,1.4835164546966553,1.476190447807312
0.11124999821186066,1.4886447191238403,1.4820512533187866
0.11249999701976776,1.490109920501709,1.4864468574523926
0.11375000327825546,1.501098871231079,1.4915751218795776
0.11500000208616257,1.505494475364685,1.4974359273910522
0.11625000089406967,1.5091575384140015,1.5040292739868164
0.11749999970197678,1.5230768918991089,1.5135531425476074
0.11874999850988388,1.5216116905212402,1.5164835453033447
0.11999999731779099,1.5274724960327148,1.5267399549484253
0.12125000357627869,1.5413919687271118,1.5326007604599
0.12250000238418579,1.5413919687271118,1.5355311632156372
0.1237500011920929,1.5494505167007446,1.5421245098114014
0.125,1.557509183883667,1.5501831769943237
0.1262499988079071,1.5597069263458252,1.5545787811279297
0.1274999976158142,1.566300392150879,1.5582417249679565
0.1287499964237213,1.5714285373687744,1.5670329332351685
0.12999999523162842,1.5750916004180908,1.5714285373687744
0.13124999403953552,1.5802197456359863,1.577289342880249
