Model,DPO2002B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,1e-05,
Sample Interval,1e-09,
Filter Frequency,7e+07,
Record Length,100000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,1
Label,,
TIME,CH1,CH2
-25.00000e-06,-307.53766745e-03,368.84422600e-03
-24.97500e-06,-307.53766745e-03,368.84422600e-03
-24.95000e-06,-307.53766745e-03,368.84422600e-03
-24.92500e-06,-307.53766745e-03,328.64322141e-03
-24.90000e-06,-227.13565826e-03,368.84422600e-03
-24.87500e-06,-307.53766745e-03,368.84422600e-03
-24.85000e-06,-307.53766745e-03,328.64322141e-03
-24.82500e-06,-307.53766745e-03,368.84422600e-03
-24.80000e-06,-307.53766745e-03,366.33166322e-03
-24.77500e-06,-387.93967664e-03,328.64322141e-03
-24.75000e-06,-312.56279303e-03,368.84422600e-03
-24.72500e-06,-387.93967664e-03,328.64322141e-03
-24.70000e-06,-307.53766745e-03,368.84422600e-03
-24.67500e-06,-307.53766745e-03,368.84422600e-03
-24.65000e-06,-307.53766745e-03,366.33166322e-03
-24.62500e-06,-387.93967664e-03,328.64322141e-03
-24.60000e-06,-307.53766745e-03,328.64322141e-03
-24.57500e-06,-307.53766745e-03,368.84422600e-03
-24.55000e-06,-387.93967664e-03,328.64322141e-03
-24.52500e-06,-387.93967664e-03,328.64322141e-03
-24.50000e-06,-387.93967664e-03,328.64322141e-03
-24.47500e-06,-387.93967664e-03,328.64322141e-03
-24.45000e-06,-387.93967664e-03,328.64322141e-03
-24.42500e-06,-387.93967664e-03,368.84422600e-03
-24.40000e-06,-387.93967664e-03,368.84422600e-03
-24.37500e-06,-387.93967664e-03,366.33166322e-03
-24.35000e-06,-387.93967664e-03,366.33166322e-03
-24.32500e-06,-387.93967664e-03,368.84422600e-03
-24.30000e-06,-387.93967664e-03,368.84422600e-03
-24.27500e-06,-387.93967664e-03,368.84422600e-03
-24.25000e-06,-387.93967664e-03,328.64322141e-03
-24.22500e-06,-468.34168583e-03,368.84422600e-03
-24.20000e-06,-387.93967664e-03,328.64322141e-03
-24.17500e-06,-387.93967664e-03,368.84422600e-03
-24.15000e-06,-392.96480222e-03,328.64322141e-03
-24.12500e-06,-468.34168583e-03,366.33166322e-03
-24.10000e-06,-392.96480222e-03,366.33166322e-03
-24.07500e-06,-392.96480222e-03,368.84422600e-03
-24.05000e-06,-468.34168583e-03,328.64322141e-03
-24.02500e-06,-387.93967664e-03,328.64322141e-03
-24.00000e-06,-468.34168583e-03,368.84422600e-03
-23.97500e-06,-468.34168583e-03,368.84422600e-03
-23.95000e-06,-468.34168583e-03,368.84422600e-03
-23.92500e-06,-468.34168583e-03,368.84422600e-03
-23.90000e-06,-468.34168583e-03,368.84422600e-03
-23.87500e-06,-468.34168583e-03,328.64322141e-03
-23.85000e-06,-468.34168583e-03,328.64322141e-03
-23.82500e-06,-468.34168583e-03,368.84422600e-03
-23.80000e-06,-468.34168583e-03,328.64322141e-03
-23.77500e-06,-473.36681141e-03,366.33166322e-03
-23.75000e-06,-468.34168583e-03,366.33166322e-03
-23.72500e-06,-468.34168583e-03,366.33166322e-03
-23.70000e-06,-392.96480222e-03,328.64322141e-03
-23.67500e-06,-468.34168583e-03,328.64322141e-03
-23.65000e-06,-468.34168583e-03,368.84422600e-03
-23.62500e-06,-468.34168583e-03,328.64322141e-03
-23.60000e-06,-468.34168583e-03,368.84422600e-03
-23.57500e-06,-548.74369502e-03,368.84422600e-03
-23.55000e-06,-548.74369502e-03,368.84422600e-03
-23.52500e-06,-548.74369502e-03,328.64322141e-03
-23.50000e-06,-548.74369502e-03,328.64322141e-03
-23.47500e-06,-468.34168583e-03,368.84422600e-03
-23.45000e-06,-473.36681141e-03,328.64322141e-03
-23.42500e-06,-548.74369502e-03,368.84422600e-03
-23.40000e-06,-468.34168583e-03,368.84422600e-03
-23.37500e-06,-548.74369502e-03,366.33166322e-03
-23.35000e-06,-548.74369502e-03,366.33166322e-03
-23.32500e-06,-548.74369502e-03,328.64322141e-03
-23.30000e-06,-473.36681141e-03,368.84422600e-03
-23.27500e-06,-473.36681141e-03,368.84422600e-03
-23.25000e-06,-473.36681141e-03,368.84422600e-03
-23.22500e-06,-548.74369502e-03,328.64322141e-03
-23.20000e-06,-468.34168583e-03,368.84422600e-03
-23.17500e-06,-548.74369502e-03,368.84422600e-03
-23.15000e-06,-468.34168583e-03,366.33166322e-03
-23.12500e-06,-548.74369502e-03,328.64322141e-03
-23.10000e-06,-473.36681141e-03,328.64322141e-03
-23.07500e-06,-473.36681141e-03,328.64322141e-03
-23.05000e-06,-548.74369502e-03,368.84422600e-03
-23.02500e-06,-473.36681141e-03,368.84422600e-03
-23.00000e-06,-548.74369502e-03,368.84422600e-03
-22.97500e-06,-468.34168583e-03,368.84422600e-03
-22.95000e-06,-548.74369502e-03,366.33166322e-03
-22.92500e-06,-468.34168583e-03,368.84422600e-03
-22.90000e-06,-468.34168583e-03,368.84422600e-03
-22.87500e-06,-468.34168583e-03,328.64322141e-03
-22.85000e-06,-548.74369502e-03,328.64322141e-03
-22.82500e-06,-548.74369502e-03,328.64322141e-03
-22.80000e-06,-548.74369502e-03,368.84422600e-03
-22.77500e-06,-548.74369502e-03,368.84422600e-03
-22.75000e-06,-548.74369502e-03,366.33166322e-03
-22.72500e-06,-468.34168583e-03,328.64322141e-03
-22.70000e-06,-468.34168583e-03,366.33166322e-03
-22.67500e-06,-548.74369502e-03,328.64322141e-03
-22.65000e-06,-548.74369502e-03,368.84422600e-03
-22.62500e-06,-473.36681141e-03,328.64322141e-03
-22.60000e-06,-468.34168583e-03,368.84422600e-03
-22.57500e-06,-548.74369502e-03,366.33166322e-03
-22.55000e-06,-473.36681141e-03,368.84422600e-03
-22.52500e-06,-548.74369502e-03,328.64322141e-03
-22.50000e-06,-473.36681141e-03,328.64322141e-03
-22.47500e-06,-468.34168583e-03,328.64322141e-03
-22.45000e-06,-468.34168583e-03,368.84422600e-03
-22.42500e-06,-468.34168583e-03,368.84422600e-03
-22.40000e-06,-468.34168583e-03,368.84422600e-03
-22.37500e-06,-468.34168583e-03,368.84422600e-03
-22.35000e-06,-468.34168583e-03,366.33166322e-03
-22.32500e-06,-468.34168583e-03,328.64322141e-03
-22.30000e-06,-392.96480222e-03,328.64322141e-03
-22.27500e-06,-468.34168583e-03,368.84422600e-03
-22.25000e-06,-468.34168583e-03,328.64322141e-03
-22.22500e-06,-468.34168583e-03,328.64322141e-03
-22.20000e-06,-392.96480222e-03,368.84422600e-03
-22.17500e-06,-468.34168583e-03,328.64322141e-03
-22.15000e-06,-468.34168583e-03,368.84422600e-03
-22.12500e-06,-468.34168583e-03,368.84422600e-03
-22.10000e-06,-392.96480222e-03,366.33166322e-03
-22.07500e-06,-468.34168583e-03,328.64322141e-03
