Time (s),A2 (V)
0.0012499999720603228,3
0.0024999999441206455,3
0.0037499999161809683,3
0.004999999888241291,3
0.0062500000931322575,3
0.007499999832361937,3
0.008750000037252903,3
0.009999999776482582,3
0.011250000447034836,3
0.012500000186264515,3
0.013749999925494194,3
0.014999999664723873,3
0.016249999403953552,3
0.017500000074505806,3
0.01875000074505806,3
0.019999999552965164,3
0.021250000223517418,3
0.02250000089406967,3
0.023749999701976776,3
0.02500000037252903,3
0.026249999180436134,3
0.027499999850988388,3
0.028750000521540642,3
0.029999999329447746,3
0.03125,3
0.032499998807907104,3
0.03375000134110451,3
0.03500000014901161,3
0.036249998956918716,3
0.03750000149011612,3
0.038750000298023224,3
0.03999999910593033,3
0.04125000163912773,3
0.042500000447034836,3
0.04374999925494194,3
0.04500000178813934,3
0.04625000059604645,3
0.04749999940395355,3
0.04874999821186066,3
0.05000000074505806,3
0.051249999552965164,3
0.05249999836087227,3
0.05375000089406967,3
0.054999999701976776,3
0.05624999850988388,3
0.057500001043081284,3
0.05874999985098839,3
0.05999999865889549,3
0.061250001192092896,3
0.0625,3
0.0637499988079071,3
0.06499999761581421,3
0.06624999642372131,3
0.06750000268220901,3
0.06875000149011612,3
0.07000000029802322,3
0.07124999910593033,3
0.07249999791383743,3
0.07374999672174454,3
0.07500000298023224,3
0.07625000178813934,3
0.07750000059604645,3
0.07874999940395355,3
0.07999999821186066,3
0.08124999701976776,3
0.08250000327825546,3
0.08375000208616257,3
0.08500000089406967,3
0.08624999970197678,3
0.08749999850988388,3
0.08874999731779099,3
0.09000000357627869,3
0.09125000238418579,3
0.0925000011920929,3
0.09375,3
0.0949999988079071,3
0.09624999761581421,3
0.09749999642372131,3
0.09875000268220901,3
0.10000000149011612,3
0.10125000029802322,3
0.10249999910593033,3
0.10374999791383743,3
0.10499999672174454,3
0.10625000298023224,3
0.10750000178813934,3
0.10875000059604645,3
0.10999999940395355,3
0.11124999821186066,3
0.11249999701976776,3
0.11375000327825546,3
0.11500000208616257,3
0.11625000089406967,3
0.11749999970197678,3
0.11874999850988388,3
0.11999999731779099,3
0.12125000357627869,3
0.12250000238418579,3
0.1237500011920929,3
0.125,3
0.1262499988079071,3
0.1274999976158142,3
0.1287499964237213,3
0.12999999523162842,3
0.13124999403953552,3
