Time (s),Fᵧ (N)
0.00041666667675599456,-3.3916666507720947
0.0008333333535119891,-3.3916666507720947
0.0012499999720603228,-3.3960070610046387
0.0016666667070239782,-3.3916666507720947
0.0020833334419876337,-3.3986098766326904
0.0024999999441206455,-3.4000000953674316
0.002916666679084301,-3.3956594467163086
0.0033333334140479565,-3.4000000953674316
0.0037499999161809683,-3.3944473266601562
0.004166666883975267,-3.396871566772461
0.004583333153277636,-3.4000000953674316
0.004999999888241291,-3.4000000953674316
0.0054166666232049465,-3.3958380222320557
0.005833333358168602,-3.3954813480377197
0.0062500000931322575,-3.4000000953674316
0.006666666828095913,-3.3956594467163086
0.007083333563059568,-3.4000000953674316
0.007499999832361937,-3.397575855255127
0.007916666567325592,-3.3980836868286133
0.008333333767950535,-3.4000000953674316
0.008750000037252903,-3.4000000953674316
0.009166666306555271,-3.4043405055999756
0.009583333507180214,-3.4000000953674316
0.009999999776482582,-3.4000000953674316
0.010416666977107525,-3.4000000953674316
0.010833333246409893,-3.3916757106781006
0.011250000447034836,-3.3916666507720947
0.011666666716337204,-3.3960072994232178
0.012083332985639572,-3.3916666507720947
0.012500000186264515,-3.3986005783081055
0.012916666455566883,-3.4000000953674316
0.013333333656191826,-3.3956596851348877
0.013749999925494194,-3.4000000953674316
0.014166667126119137,-3.394456624984741
0.014583333395421505,-3.396862506866455
0.014999999664723873,-3.4000000953674316
0.015416666865348816,-3.3999998569488525
0.015833333134651184,-3.3958470821380615
0.016249999403953552,-3.395472288131714
0.01666666753590107,-3.4000000953674316
0.017083333805203438,-3.3956596851348877
0.017500000074505806,-3.4000000953674316
0.017916666343808174,-3.397585153579712
0.018333332613110542,-3.3980746269226074
0.01875000074505806,-3.4000000953674316
0.019166667014360428,-3.3999998569488525
0.019583333283662796,-3.4043405055999756
0.019999999552965164,-3.4000000953674316
0.020416665822267532,-3.4000000953674316
0.02083333395421505,-3.4000000953674316
0.021250000223517418,-3.428920269012451
0.021666666492819786,-3.425365686416626
0.022083332762122154,-3.424999952316284
0.02250000089406967,-3.424999952316284
0.02291666716337204,-3.424999952316284
0.023333333432674408,-3.429340362548828
0.023749999701976776,-3.426888942718506
0.024166665971279144,-3.433333396911621
0.02458333410322666,-3.433333396911621
0.02500000037252903,-3.4324870109558105
0.025416666641831398,-3.4254987239837646
0.025833332911133766,-3.433333396911621
0.026249999180436134,-3.4291892051696777
0.02666666731238365,-3.4331369400024414
0.02708333358168602,-3.428992986679077
0.027499999850988388,-3.430232048034668
0.027916666120290756,-3.424999952316284
0.028333334252238274,-3.431746482849121
0.028750000521540642,-3.4269344806671143
0.02916666679084301,-3.426710844039917
0.029583333060145378,-3.4276297092437744
0.029999999329447746,-3.424999952316284
0.030416667461395264,-3.4256680011749268
0.030833333730697632,-3.428992748260498
0.03125,-3.433333396911621
0.03166666626930237,-3.428992986679077
0.032083332538604736,-3.433333396911621
0.032499998807907104,-3.430063009262085
0.03291666507720947,-3.4322633743286133
0.03333333507180214,-3.433333396911621
0.03375000134110451,-3.433333396911621
0.034166667610406876,-3.4271128177642822
0.034583333879709244,-3.42653226852417
0.03500000014901161,-3.428992986679077
0.03541666641831398,-3.433333396911621
0.03583333268761635,-3.433333396911621
0.036249998956918716,-3.428992986679077
0.036666665226221085,-3.433333396911621
0.03708333149552345,-3.4295461177825928
0.03750000149011612,-3.4327802658081055
0.03791666775941849,-3.433333396911621
0.038333334028720856,-3.433333158493042
0.038750000298023224,-3.428992748260498
0.03916666656732559,-3.431283950805664
0.03958333283662796,-3.431042194366455
0.03999999910593033,-3.428992986679077
0.0404166653752327,-3.433333396911621
0.040833331644535065,-3.433333396911621
0.04125000163912773,-3.433333396911621
0.0416666679084301,-3.433333396911621
0.04208333417773247,-3.4250361919403076
0.042500000447034836,-3.4329495429992676
0.042916666716337204,-3.433333396911621
0.04333333298563957,-3.433333396911621
0.04374999925494194,-3.433333396911621
0.04416666552424431,-3.433333396911621
0.04458333179354668,-3.428992748260498
0.04500000178813934,-3.433333396911621
0.04541666805744171,-3.4321577548980713
0.04583333432674408,-3.424999952316284
0.04625000059604645,-3.425480604171753
0.046666666865348816,-3.433333396911621
0.047083333134651184,-3.4292075634002686
