Time (s),Ay (m/s²),Fᵧ (N)
0.004999999888241291,-9.811751365661621,-4.051320552825928
0.009999999776482582,-9.816731452941895,-4.047086715698242
0.014999999664723873,-9.824069023132324,-4.0470991134643555
0.019999999552965164,-9.811651229858398,-4.051307678222656
0.02500000037252903,-9.8168306350708,-4.047086715698242
0.029999999329447746,-9.824069023132324,-4.047086715698242
0.03500000014901161,-9.765271186828613,-4.059815406799316
0.03999999910593033,-9.795748710632324,-4.05979061126709
0.04500000178813934,-9.79415512084961,-4.064024448394775
0.05000000074505806,-9.831439018249512,-4.072491645812988
0.054999999701976776,-9.822442054748535,-4.07249116897583
0.05999999865889549,-9.856770515441895,-4.068306922912598
0.06499999761581421,-9.857135772705078,-4.076728820800781
0.07000000029802322,-9.877387046813965,-4.072494983673096
0.07500000298023224,-9.854082107543945,-4.068200588226318
0.07999999821186066,-9.83993911743164,-4.064089775085449
0.08500000089406967,-9.8572359085083,-4.068192481994629
0.09000000357627869,-9.827457427978516,-4.064024448394775
0.0949999988079071,-9.822275161743164,-4.064023971557617
0.10000000149011612,-9.81198501586914,-4.064024448394775
0.10499999672174454,-9.827552795410156,-4.064024448394775
0.10999999940395355,-9.830443382263184,-4.059791088104248
0.11500000208616257,-9.811118125915527,-4.064024448394775
0.11999999731779099,-9.823639869689941,-4.064024448394775
0.125,-9.829048156738281,-4.05979061126709
0.12999999523162842,-9.814136505126953,-4.064024448394775
0.13500000536441803,-9.848212242126465,-4.064024448394775
0.14000000059604645,-9.837942123413086,-4.064024448394775
0.14499999582767487,-9.833368301391602,-4.064143180847168
0.15000000596046448,-9.855043411254883,-4.06813907623291
0.1550000011920929,-9.832667350769043,-4.064023971557617
0.1599999964237213,-9.817856788635254,-4.072622299194336
0.16500000655651093,-9.823345184326172,-4.072495460510254
0.17000000178813934,-9.82131576538086,-4.068122863769531
0.17499999701976776,-9.77284049987793,-4.064167499542236
0.18000000715255737,-9.749239921569824,-4.068114757537842
0.1850000023841858,-9.736249923706055,-4.064023971557617
0.1899999976158142,-9.738781929016113,-4.064024448394775
0.19499999284744263,-9.723902702331543,-4.064024448394775
0.20000000298023224,-9.727855682373047,-4.059791088104248
0.20499999821186066,-9.726492881774902,-4.059791088104248
0.20999999344348907,-9.685622215270996,-4.059618949890137
0.2150000035762787,-9.7387113571167,-4.0514960289001465
0.2199999988079071,-9.728058815002441,-4.059791088104248
0.22499999403953552,-9.730241775512695,-4.064024448394775
0.23000000417232513,-9.736320495605469,-4.064024448394775
0.23499999940395355,-9.738547325134277,-4.0555572509765625
0.23999999463558197,-9.757303237915039,-4.05979061126709
0.24500000476837158,-9.773457527160645,-4.064224720001221
0.25,-9.776202201843262,-4.06382417678833
0.2549999952316284,-9.813963890075684,-4.055557727813721
0.25999999046325684,-9.799142837524414,-4.064024448394775
0.26499998569488525,-9.835615158081055,-4.064023971557617
0.27000001072883606,-9.846148490905762,-4.064023971557617
0.2750000059604645,-9.842658996582031,-4.064024448394775
0.2800000011920929,-9.8357515335083,-4.064024448394775
0.2849999964237213,-9.843486785888672,-4.064024448394775
0.28999999165534973,-9.826358795166016,-4.064024448394775
0.29499998688697815,-9.87669563293457,-4.064265251159668
0.30000001192092896,-9.853851318359375,-4.0722503662109375
0.3050000071525574,-9.86534309387207,-4.064024448394775
0.3100000023841858,-9.830365180969238,-4.064277648925781
0.3149999976158142,-9.849993705749512,-4.072494983673096
0.3199999928474426,-9.852655410766602,-4.0722336769104
0.32499998807907104,-9.860494613647461,-4.076990604400635
0.33000001311302185,-9.830286979675293,-4.072494983673096
0.33500000834465027,-9.807720184326172,-4.076455116271973
0.3400000035762787,-9.833168029785156,-4.077003002166748
0.3449999988079071,-9.846476554870605,-4.068262100219727
0.3499999940395355,-9.83397102355957,-4.076728343963623
0.35499998927116394,-9.808560371398926,-4.080962181091309
0.36000001430511475,-9.77092170715332,-4.072495460510254
0.36500000953674316,-9.799477577209473,-4.072495460510254
0.3700000047683716,-9.769350051879883,-4.068261623382568
0.375,-9.766764640808105,-4.080962181091309
0.3799999952316284,-9.731951713562012,-4.072495460510254
0.38499999046325684,-9.742815017700195,-4.076728820800781
0.38999998569488525,-9.758768081665039,-4.076728820800781
0.39500001072883606,-9.775343894958496,-4.080962181091309
0.4000000059604645,-9.77006721496582,-4.080962181091309
0.4050000011920929,-9.752384185791016,-4.076728820800781
0.4099999964237213,-9.792655944824219,-4.080962181091309
0.41499999165534973,-9.794763565063477,-4.085535049438477
0.41999998688697815,-9.797454833984375,-4.089433193206787
0.42500001192092896,-9.835986137390137,-4.085199356079102
0.4300000071525574,-9.848661422729492,-4.097899913787842
0.4350000023841858,-9.841537475585938,-4.097899913787842
0.4399999976158142,-9.858534812927246,-4.0936665534973145
0.4449999928474426,-9.880035400390625,-4.098263740539551
0.44999998807907104,-9.871320724487305,-4.10176944732666
0.45500001311302185,-9.887264251708984,-4.097899913787842
0.46000000834465027,-9.892969131469727,-4.098275661468506
0.4650000035762787,-9.886478424072266,-4.101757049560547
0.4699999988079071,-9.865022659301758,-4.097899913787842
0.4749999940395355,-9.895868301391602,-4.102133274078369
0.47999998927116394,-9.904507637023926,-4.10252571105957
0.48500001430511475,-9.890103340148926,-4.105974197387695
0.49000000953674316,-9.886727333068848,-4.097899913787842
0.4950000047683716,-9.863960266113281,-4.098304748535156
0.5,-9.87958812713623,-4.10637092590332
0.5049999952316284,-9.837730407714844,-4.110191345214844
0.5099999904632568,-9.845268249511719,-4.102133274078369
0.5149999856948853,-9.8458890914917,-4.098320960998535
0.5199999809265137,-9.852980613708496,-4.105945587158203
0.5249999761581421,-9.814743995666504,-4.102133274078369
0.5299999713897705,-9.811250686645508,-4.102566242218018
0.5350000262260437,-9.792908668518066,-4.105933666229248
0.5400000214576721,-9.803581237792969,-4.102133274078369
0.5450000166893005,-9.813016891479492,-4.102578639984131
0.550000011920929,-9.740547180175781,-4.106370449066162
0.5550000071525574,-9.771636009216309,-4.106370449066162
0.5600000023841858,-9.755789756774902,-4.10167932510376
0.5649999976158142,-9.734687805175781,-4.098361968994141
0.5699999928474426,-9.734061241149902,-4.106370449066162
0.574999988079071,-9.693037033081055,-4.1106038093566895
0.5799999833106995,-9.702913284301758,-4.1106038093566895
0.5849999785423279,-9.706131935119629,-4.114837169647217
0.5899999737739563,-9.661406517028809,-4.1106038093566895
0.5950000286102295,-9.671947479248047,-4.114837169647217
0.6000000238418579,-9.657898902893066,-4.1106038093566895
0.6050000190734863,-9.641852378845215,-4.1106038093566895
0.6100000143051147,-9.619937896728516,-4.114837169647217
0.6150000095367432,-9.646003723144531,-4.114837169647217
0.6200000047683716,-9.646544456481934,-4.1233038902282715
0.625,-9.639796257019043,-4.119070529937744
0.6299999952316284,-9.63825511932373,-4.119070529937744
0.6349999904632568,-9.623361587524414,-4.119589805603027
0.6399999856948853,-9.630892753601074,-4.13177490234375
0.6449999809265137,-9.614459037780762,-4.131775379180908
0.6499999761581421,-9.626285552978516,-4.136539936065674
0.6549999713897705,-9.636159896850586,-4.1402459144592285
0.6600000262260437,-9.662089347839355,-4.144479274749756
0.6650000214576721,-9.618990898132324,-4.149256229400635
0.6700000166893005,-9.633891105651855,-4.157183647155762
0.675000011920929,-9.608264923095703,-4.1566314697265625
0.6800000071525574,-9.635977745056152,-4.157735347747803
0.6850000023841858,-9.627814292907715,-4.165650367736816
0.6899999976158142,-9.633797645568848,-4.165650367736816
0.6949999928474426,-9.631848335266113,-4.165650367736816
0.699999988079071,-9.587313652038574,-4.174689292907715
0.7049999833106995,-9.612213134765625,-4.17893123626709
0.7099999785423279,-9.602300643920898,-4.186244964599609
0.7149999737739563,-9.595932006835938,-4.183172225952148
0.7200000286102295,-9.583222389221191,-4.199525833129883
0.7250000238418579,-9.628889083862305,-4.199525833129883
0.7300000190734863,-9.60975170135498,-4.2043561935424805
0.7350000143051147,-9.621646881103516,-4.212230205535889
0.7400000095367432,-9.646194458007812,-4.217068672180176
0.7450000047683716,-9.635947227478027,-4.220701217651367
0.75,-9.674509048461914,-4.229781150817871
0.7549999952316284,-9.66998291015625,-4.245488166809082
0.7599999904632568,-9.656466484069824,-4.24672269821167
0.7649999856948853,-9.652195930480957,-4.250338554382324
0.7699999809265137,-9.644315719604492,-4.259434700012207
0.7749999761581421,-9.623567581176758,-4.267910003662109
0.7799999713897705,-9.643089294433594,-4.279980659484863
0.7850000262260437,-9.619013786315918,-4.284213542938232
0.7900000214576721,-9.60176944732666,-4.289093494415283
0.7950000166893005,-9.615055084228516,-4.301151752471924
0.800000011920929,-9.60520076751709,-4.3018059730529785
0.8050000071525574,-9.58657455444336,-4.31385612487793
0.8100000023841858,-9.59209156036377,-4.318751811981201
0.8149999976158142,-9.579838752746582,-4.33502721786499
0.8199999928474426,-9.554018020629883,-4.335697650909424
0.824999988079071,-9.549564361572266,-4.352639675140381
0.8299999833106995,-9.575032234191895,-4.368902206420898
0.8349999785423279,-9.499552726745605,-4.373818397521973
0.8399999737739563,-9.478821754455566,-4.386526584625244
0.8450000286102295,-9.456730842590332,-4.3985443115234375
0.8500000238418579,-9.426706314086914,-4.407706260681152
0.8550000190734863,-9.391336441040039,-4.4288811683654785
0.8600000143051147,-9.390279769897461,-4.436653137207031
0.8650000095367432,-9.343650817871094,-4.442300796508789
0.8700000047683716,-9.326148986816406,-4.470528602600098
0.875,-9.291362762451172,-4.4712443351745605
0.8799999952316284,-9.264791488647461,-4.4924187660217285
0.8849999904632568,-9.262929916381836,-4.505127429962158
0.8899999856948853,-9.213451385498047,-4.517107963562012
0.8949999809265137,-9.219846725463867,-4.534773349761963
0.8999999761581421,-9.199522972106934,-4.547481536865234
0.9049999713897705,-9.201930046081543,-4.565163612365723
0.9100000262260437,-9.20985221862793,-4.57639217376709
0.9150000214576721,-9.216246604919434,-4.589092254638672
0.9200000166893005,-9.266195297241211,-4.594078063964844
0.925000011920929,-9.272602081298828,-4.602552890777588
0.9300000071525574,-9.304274559020996,-4.627961158752441
0.9350000023841858,-9.408937454223633,-4.640669822692871
0.9399999976158142,-9.481850624084473,-4.661076068878174
0.9449999928474426,-9.542805671691895,-4.680327415466309
0.949999988079071,-9.57628345489502,-4.708432674407959
0.9549999833106995,-9.63902473449707,-4.725374698638916
0.9599999785423279,-9.650160789489746,-4.742315769195557
0.9649999737739563,-9.668416976928711,-4.759257793426514
0.9700000286102295,-9.726036071777344,-4.7761993408203125
0.9750000238418579,-9.78530216217041,-4.801608562469482
0.9800000190734863,-9.85657787322998,-4.819351673126221
0.9850000143051147,-9.958856582641602,-4.843962669372559
0.9900000095367432,-9.984574317932129,-4.860904216766357
0.9950000047683716,-10.045750617980957,-4.882892608642578
1,-10.108027458190918,-4.907492160797119
1.0049999952316284,-10.198031425476074,-4.9286675453186035
1.0099999904632568,-10.272560119628906,-4.949842929840088
1.0149999856948853,-10.34371566772461,-4.962551116943359
1.0199999809265137,-10.430279731750488,-4.984560012817383
1.024999976158142,-10.513092041015625,-5.0040669441223145
1.0299999713897705,-10.631647109985352,-5.013376235961914
1.034999966621399,-10.71471118927002,-5.03455114364624
1.0399999618530273,-10.796041488647461,-5.051492691040039
1.0449999570846558,-10.871515274047852,-5.063346862792969
1.0499999523162842,-10.99820327758789,-5.072672367095947
1.0549999475479126,-11.15224838256836,-5.085380554199219
1.059999942779541,-11.304376602172852,-5.093855381011963
1.065000057220459,-11.441091537475586,-5.109926700592041
